feature,importance
N_SCAN,0.08787152314944201
SIF_DEFECT,0.0643956187628339
FL_BP_15_RATE,0.04776860467977831
FL_15_AWAF,0.0423630094029506
CH_15_MWAF,0.028232029759012477
CH_SS_DAYS,0.02797048747066551
CF_BP_15_RRAT,0.026852698024043463
FL_05_MWAF,0.02673467381501173
CH_BP_15_RATE,0.026299091547452975
UPT_12HRS,0.025952929296112637
FL_15_NWAF,0.025805161472521144
FULLPM_RF,0.025408795862018566
FL_BP_05_RATE,0.025274277800108713
CH_15_AWAF,0.024644877949622387
PT_BTWN,0.02407657801528898
CH_05_MWAF,0.024076316999384558
CH_05_NWAF,0.023325074492508265
S_ORDER,0.0211576780061433
MINIPM,0.02059217454709038
FL_15_MWAF,0.020560380672812094
CH_15_NWAF,0.02046383809588701
CF_SP_15_RRAT,0.01993103245937935
CNTR_SS,0.01932810703994771
FL_05_AWAF,0.019298795223812792
CH_05_AWAF,0.01928077680994672
FL_05_NWAF,0.0191540328250656
FL_SP_15_RATE,0.018159983079560005
FL_SP_05_RATE,0.01761392568825727
CH_SP_15_RATE,0.01759563377870564
FULLPM,0.017303606865032444
CH_SS_15_TA,0.01616854727546268
SMOOTH_LEAK_RATE,0.015887757840325083
CH_BP_05_RATE,0.015685652734526996
CF_SP_05_RRAT,0.01562912917965387
UP_12HRS,0.015528315288239732
UNW_12HRS,0.013712149133005004
MINIPM_RF,0.013180890087977723
RAW_LEAK_RATE,0.01154178807997304
CH_SP_05_RATE,0.011245280676068043
ICCR2_ON,0.006456010389493419
LAYER_8M6CL,0.006449569314123391
CF_BP_05_RRAT,0.0062237573439100045
CH_SS_5_TA,0.005839296806373564
CH_SS_15_N,0.003569229008920061
PL_RECIPE_P_78_GABON,0.0031358416406700716
CH_SS_5_N,0.00307117912762081
SIF_ETCH,0.0026671760761653603
SIF_SED,0.0021257174043801037
CV_ON,0.002054321143785515
PL_RECIPE_P_78_GOBI_R3,0.0006792811124504035
PL_RECIPE_P_78_GABON_B15,0.0005557764823738802
PL_RECIPE_P_78_GABON_B10_R3,0.0005169012901424948
PL_RECIPE_P_78H_CHALBI_R2_A4,0.0002900012062495278
DP_FAIL_60,0.00014842485055259944
GF_ON,0.00014629291716005728
ROUTE_RE,0.0
ROUTE_SE,0.0
PL_RECIPE_P_78_THAR_R4,0.0
PL_RECIPE_P_78_THAR_R2,0.0
PL_RECIPE_P_78_PIL16E_1A_R1_B05,0.0
PL_RECIPE_P_78_PIL16E_1A_R1,0.0
PL_RECIPE_P_78_GOBI_R5,0.0
DP_FAIL_30,0.0
PL_RECIPE_P_78_GABON_R1,0.0
DP_FAIL_15,0.0
CCMR2_ON,0.0
SRCIP_ON,0.0
ROUTE_FL,0.0
PL_RECIPE_P_76_CHALBI_R3,0.0
PL_RECIPE_P_76_98P_CHALBI_R4,0.0
PL_RECIPE_Other,0.0
PL_RECIPE_M_UBE_MIMIC_R1,0.0
PL_RECIPE_M_SS_L100,0.0
PL_RECIPE_M_CCM_R2_L100,0.0
PL_RECIPE_M_30S_TIN_L100,0.0
PL_RECIPE_M_30S_TIN2_L100,0.0
PL_RECIPE_S_78_ROADRUNNER_WF78,0.0
