Config,Model,CV_MAE_mean,CV_MAE_std,CV_R2_mean,CV_R2_std,Test_MAE,Test_RMSE,Test_R2,Improvement_over_baseline
Original,BP_RATE,0.21398459833903938,0.006822995637697601,0.03101466245010631,0.009600781060782416,0.21977467366091505,0.28902535964781156,0.033025373425039195,0.03357939734482085
Original,SP_RATE,0.2510001563188612,0.009797030896196397,0.016320457621525054,0.005211437436571747,0.26587020815905776,0.3302731863535955,0.008191419719857707,0.010707369453168636
More Trees,BP_RATE,0.21370425893905662,0.006841950146530771,0.026817566660087742,0.010287475822376149,0.22021980681838202,0.28902400227382025,0.033034455971483356,0.03358847989126501
More Trees,SP_RATE,0.24991230813598686,0.010319456706558417,0.020621345516718438,0.0043261310232421595,0.2660367430014694,0.3305345890886738,0.006620816439471433,0.009136766172782362
Deeper,BP_RATE,0.21442001587417442,0.00654088659967368,0.01415436557019083,0.017716401062981828,0.22240137259540355,0.29061662435591307,0.022348466840661385,0.02290249076044304
Deeper,SP_RATE,0.2500332482101902,0.009662924619153846,0.016945995460780017,0.013488630923147872,0.26786489730632385,0.33185873952084266,-0.0013542535790438404,0.001161696154267089
Balanced,BP_RATE,0.21403277338143784,0.006479107364626326,0.026278822061379638,0.007632385820026881,0.22047390215064333,0.2881799829474984,0.038673751960544345,0.039227775880326
Balanced,SP_RATE,0.2502861477625562,0.010243259885775123,0.017165474123898728,0.004425383696110849,0.2654684221773832,0.3301252777113808,0.009079558498908069,0.011595508232218998
Conservative,BP_RATE,0.21448494804837273,0.006487957893637315,0.028861742118511603,0.006265976460472037,0.2187054539986553,0.28950681304349524,0.029801151347909616,0.03035517526769127
Conservative,SP_RATE,0.2512683312054086,0.009993411575931633,0.016994601831229805,0.003890869265888895,0.26549077791591064,0.3304316444122465,0.007239494043118522,0.009755443776429451
